playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name,Mitchell-Report,Positive-Test
aardsda01,0,16,18,331,0,0,0,69,1011,296,160,41,183,340,22,12,16,1,1475,141,169,17,11,4.2729970326,David Aardsma,0,0
aasedo01,0,66,60,448,91,22,5,82,3328,1085,468,89,457,641,45,21,7,3,4730,234,503,,,3.796875,Don Aase,0,0
abadfe01,0,5,20,258,6,0,0,0,682,220,94,32,77,193,7,8,10,0,970,66,99,7,9,3.7214076246,Fernando Abad,0,0
abbeybe01,0,22,40,79,66,52,0,1,1704,686,285,18,192,161,,18,0,0,0,12,442,,,4.5158450704,Bert Abbey,0,0
abbotgl01,0,62,83,248,206,37,5,0,3858,1405,627,162,352,484,28,18,32,5,5509,13,707,,,4.3880248834,Glenn Abbott,0,0
abbotji01,0,87,108,263,254,31,6,0,5022,1779,791,154,620,888,30,53,32,11,7211,5,880,,,4.252688172,Jim Abbott,0,0
abbotky01,0,4,17,57,22,0,0,0,556,207,107,26,79,124,0,13,2,3,815,4,112,,,5.1960431655,Kyle Abbott,0,0
abbotpa01,0,43,37,162,112,1,0,0,2162,682,394,101,393,496,17,37,21,0,3187,17,421,8,12,4.9204440333,Paul Abbott,0,0
aberal01,0,24,25,168,30,7,0,14,1168,398,181,29,160,169,10,8,6,0,1698,76,205,,,4.1840753425,Al Aber,0,0
abernte02,0,63,69,681,34,7,2,148,3443,1010,441,70,592,765,80,35,45,3,4963,416,513,,,3.4583212315,Ted Abernathy,0,0
accarje01,0,10,20,262,0,0,0,38,854,288,136,24,111,205,16,10,9,2,1222,115,143,5,13,4.299765808,Jeremy Accardo,0,0
aceveal01,0,31,16,204,15,0,0,29,1141,333,162,48,129,282,6,5,28,6,1599,91,172,6,13,3.833479404,Alfredo Aceves,0,0
acevejo01,0,18,25,104,59,1,0,1,1105,420,235,71,113,253,14,9,12,2,1628,11,246,14,17,5.742081448,Jose Acevedo,0,0
aceveju01,0,28,40,367,34,0,0,53,1710,597,274,72,226,350,34,20,28,4,2488,165,316,11,12,4.3263157895,Juan Acevedo,0,0
ackerji01,0,33,49,467,32,0,0,30,2713,918,399,82,329,482,40,31,32,2,3868,159,447,,,3.9708809436,Jim Acker,0,0
ackerto01,0,19,13,153,23,5,1,8,1141,365,174,43,150,256,20,6,17,0,1629,35,181,,,4.1174408414,Tom Acker,0,0
acostcy01,0,13,9,107,0,0,0,27,558,143,55,15,77,109,8,4,12,1,768,74,65,,,2.6612903226,Cy Acosta,0,0
acosted01,0,6,9,57,8,3,1,1,413,153,62,12,39,70,8,6,4,2,594,22,71,,,4.0532687651,Ed Acosta,0,0
acostjo01,0,10,10,55,13,6,1,4,640,265,107,9,68,45,,4,0,0,939,28,119,,,4.5140625,Jose Acosta,0,0
acostma01,0,13,13,233,0,0,0,9,744,234,110,30,117,219,10,14,8,0,1070,78,122,9,5,3.9919354839,Manny Acosta,0,0
acrema01,0,9,6,114,0,0,0,2,381,135,73,16,68,98,9,3,5,1,582,32,75,,,5.1732283465,Mark Acre,0,0
adamsac01,0,41,33,302,7,2,0,49,1658,541,213,26,224,171,,15,8,0,2379,218,247,,,3.4686369119,Ace Adams,0,0
adamsba01,0,194,140,482,355,206,44,15,8986,2841,917,68,430,1036,,26,47,2,11947,89,1129,,,2.7552860004,Babe Adams,0,0
adamsmi03,0,21,20,408,0,0,0,4,1222,316,109,33,126,409,12,7,6,0,1653,60,122,13,6,2.4083469722,Mike Adams,0,0
adamste01,0,51,62,574,41,0,0,42,2608,890,403,63,380,691,33,54,17,6,3801,201,448,26,9,4.1721625767,Terry Adams,0,0
adamswi01,0,8,16,65,21,8,0,2,853,303,138,8,144,74,,8,19,0,1238,30,172,,,4.368112544,Willie Adams,0,0
adcocna01,0,2,6,56,5,0,0,1,369,126,57,14,56,80,5,6,7,1,541,14,64,5,4,4.1707317073,Nathan Adcock,0,0
adkingr01,0,12,27,67,42,19,0,1,1089,403,175,24,156,78,,4,7,0,1626,18,211,,,4.3388429752,Grady Adkins,0,0
adkinjo01,0,5,5,119,0,0,0,0,416,155,70,18,54,81,10,1,5,0,605,40,75,9,4,4.5432692308,Jon Adkins,0,0
affelje01,0,43,46,774,42,0,0,28,2778,904,408,76,396,720,41,55,42,9,4034,162,455,42,25,3.9654427646,Jeremy Affeldt,0,0
agostju01,0,40,33,543,2,0,0,29,1879,639,279,30,248,307,47,21,30,7,2713,198,313,,,4.0090473656,Juan Agosto,0,0
aguilri01,0,86,81,732,89,10,0,318,3874,1233,512,138,351,1030,42,53,36,10,5391,557,568,1,0,3.5684047496,Rick Aguilera,0,0
aguirha01,0,75,72,447,149,44,9,33,4127,1216,496,123,479,856,35,35,47,9,5790,124,562,,,3.2449721347,Hank Aguirre,0,0
akerfda01,0,9,10,125,13,1,0,3,701,216,132,36,127,129,16,21,13,1,1047,33,146,,,5.0841654779,Darrel Akerfelds,0,0
akerja01,0,47,45,495,0,0,0,123,2238,679,272,64,274,404,68,13,40,0,3144,321,312,,,3.2815013405,Jack Aker,0,0
albaljo01,0,6,3,66,0,0,0,0,230,77,37,10,32,56,3,0,7,1,332,13,40,2,7,4.3434782609,Jonathan Albaladejo,0,0
alberma01,0,27,31,394,23,0,0,0,1658,551,258,53,237,389,24,22,23,0,2403,88,280,24,20,4.2014475271,Matt Albers,0,0
albural01,0,17,6,241,0,0,0,1,675,175,80,16,125,276,13,20,8,8,962,50,80,3,6,3.2,Al Alburquerque,0,0
alburvi01,0,18,17,101,37,6,1,1,1118,338,170,36,220,193,7,21,12,1,1629,32,194,,,4.1055456172,Vic Albury,0,0
alcalsa01,0,14,11,68,33,3,1,2,748,257,132,25,121,140,9,9,6,5,1103,11,138,,,4.7647058824,Santo Alcala,0,0
aldresc01,0,20,39,229,67,1,0,1,1499,581,334,78,230,312,20,30,19,2,2267,29,356,1,2,6.0160106738,Scott Aldred,0,0
aldrija01,0,6,5,62,0,0,0,2,326,119,57,12,39,46,9,3,3,2,474,21,62,,,4.7208588957,Jay Aldrich,0,0
aldrivi01,0,97,80,248,205,102,8,6,4802,1671,668,87,512,526,,24,39,0,6852,28,785,,,3.7559350271,Vic Aldridge,0,0
alexado01,0,194,174,561,464,98,18,3,10103,3376,1406,324,978,1528,60,74,53,10,14162,56,1541,,,3.7574977729,Doyle Alexander,0,0
alexape01,0,373,208,696,599,437,90,32,15570,4868,1476,164,951,2198,,39,70,1,20928,80,1851,,,2.5595375723,Pete Alexander,0,0
alfonan01,0,35,37,592,0,0,0,129,1839,677,280,55,250,400,45,13,22,2,2710,301,292,25,11,4.1109298532,Antonio Alfonseca,0,0
allenbo04,0,7,12,204,0,0,0,19,822,288,125,23,132,199,27,18,5,2,1232,84,152,,,4.1058394161,Bob Allen,0,0
allenco01,0,14,11,250,0,0,0,60,715,195,70,18,92,305,9,22,4,0,992,123,81,8,9,2.6433566434,Cody Allen,0,0
allenfr01,0,50,67,180,127,60,10,3,2911,893,316,26,373,457,,23,35,2,4014,31,411,,,2.930951563,Frank Allen,0,0
allenjo02,0,142,75,352,241,109,17,18,5851,1849,813,104,738,1070,,68,38,5,8292,68,924,,,3.7516663818,Johnny Allen,0,0
allenll01,0,8,25,159,19,0,0,22,892,291,155,19,196,194,18,27,11,2,1366,75,183,,,4.6917040359,Lloyd Allen,0,0
allenne01,0,58,70,434,59,7,6,75,2965,985,426,73,417,611,68,39,9,3,4248,222,464,,,3.8792580101,Neil Allen,0,0
almanar01,0,14,13,254,0,0,0,2,644,189,115,34,136,232,13,8,6,4,951,49,123,7,12,4.8214285714,Armando Almanza,0,0
almanca01,0,13,13,210,1,0,0,0,717,252,128,35,82,170,12,10,13,0,1044,63,134,5,11,4.820083682,Carlos Almanzar,0,1
almonhe01,0,1,4,50,0,0,0,0,155,63,36,6,30,40,5,8,2,0,243,15,36,2,2,6.2709677419,Hector Almonte,0,0
alomalu01,0,18,3,116,1,1,1,15,706,212,90,21,111,115,,5,4,2,1001,55,98,,,3.4419263456,Luis Aloma,0,0
