playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Mitchell-Report,Positive-Test,AllStar,MVP,CyYoung,WorldSeriesMVP,GoldGlove
aasedo01,0,66,60,448,91,22,5,82,3328,1085,468,89,457,641,45.0,21.0,7.0,3,4730.0,234.0,503,,,3.796875,0,0,1.0,0.0,0.0,0.0,0.0
abbeybe01,0,22,40,79,66,52,0,1,1704,686,285,18,192,161,,18.0,0.0,0,0.0,12.0,442,,,4.5158450704,0,0,,,,,
abbotgl01,0,62,83,248,206,37,5,0,3858,1405,627,162,352,484,28.0,18.0,32.0,5,5509.0,13.0,707,,,4.3880248834,0,0,0.0,0.0,0.0,0.0,0.0
abbotji01,0,87,108,263,254,31,6,0,5022,1779,791,154,620,888,30.0,53.0,32.0,11,7211.0,5.0,880,,,4.252688172,0,0,0.0,0.0,0.0,0.0,0.0
abbotky01,0,4,17,57,22,0,0,0,556,207,107,26,79,124,0.0,13.0,2.0,3,815.0,4.0,112,,,5.1960431655,0,0,0.0,0.0,0.0,0.0,0.0
abbotpa01,0,43,37,162,112,1,0,0,2162,682,394,101,393,496,17.0,37.0,21.0,0,3187.0,17.0,421,8.0,12.0,4.9204440333,0,0,0.0,0.0,0.0,0.0,0.0
aberal01,0,24,25,168,30,7,0,14,1168,398,181,29,160,169,10.0,8.0,6.0,0,1698.0,76.0,205,,,4.1840753425,0,0,0.0,0.0,,,
abernte02,0,63,69,681,34,7,2,148,3443,1010,441,70,592,765,80.0,35.0,45.0,3,4963.0,416.0,513,,,3.4583212315,0,0,0.0,0.0,0.0,0.0,0.0
acevejo01,0,18,25,104,59,1,0,1,1105,420,235,71,113,253,14.0,9.0,12.0,2,1628.0,11.0,246,14.0,17.0,5.7420814479999995,0,0,0.0,0.0,0.0,0.0,0.0
aceveju01,0,28,40,367,34,0,0,53,1710,597,274,72,226,350,34.0,20.0,28.0,4,2488.0,165.0,316,11.0,12.0,4.3263157895,0,0,0.0,0.0,0.0,0.0,0.0
ackerji01,0,33,49,467,32,0,0,30,2713,918,399,82,329,482,40.0,31.0,32.0,2,3868.0,159.0,447,,,3.9708809436,0,0,0.0,0.0,0.0,0.0,0.0
ackerto01,0,19,13,153,23,5,1,8,1141,365,174,43,150,256,20.0,6.0,17.0,0,1629.0,35.0,181,,,4.1174408414,0,0,0.0,0.0,,,
acostcy01,0,13,9,107,0,0,0,27,558,143,55,15,77,109,8.0,4.0,12.0,1,768.0,74.0,65,,,2.6612903225999998,0,0,0.0,0.0,0.0,0.0,0.0
acosted01,0,6,9,57,8,3,1,1,413,153,62,12,39,70,8.0,6.0,4.0,2,594.0,22.0,71,,,4.0532687651,0,0,0.0,0.0,0.0,0.0,0.0
